symptoms,condition,natural_remedy,medicine,advice
"stuffy nose, watery eyes, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"mild fever, runny nose, cough, sneezing",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"cough, sneezing, mild fever, runny nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"cough, sneezing, mild fever, runny nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"cough, runny nose, sneezing, mild fever",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sneezing, cough, runny nose, mild fever",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"runny nose, mild fever, sneezing, cough",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, slight fatigue, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, stuffy nose, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"headache, sore throat, nasal congestion",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, stuffy nose, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, headache, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, watery eyes, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, stuffy nose, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"cough, runny nose, sneezing, mild fever",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"cough, sneezing, mild fever, runny nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, stuffy nose, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, watery eyes, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"mild fever, cough, runny nose, sneezing",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, sore throat, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"mild fever, runny nose, cough, sneezing",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, headache, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, stuffy nose, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"headache, nasal congestion, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sneezing, mild fever, runny nose, cough",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sore throat, nasal congestion, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sore throat, headache, nasal congestion",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"runny nose, cough, sneezing, mild fever",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, watery eyes, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, headache, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, stuffy nose, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, watery eyes, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"mild fever, cough, runny nose, sneezing",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, watery eyes, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"mild fever, sneezing, runny nose, cough",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, watery eyes, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, stuffy nose, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"headache, nasal congestion, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sneezing, cough, mild fever, runny nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, watery eyes, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, sore throat, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sore throat, nasal congestion, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, slight fatigue, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sore throat, nasal congestion, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"runny nose, cough, sneezing, mild fever",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, stuffy nose, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, watery eyes, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, stuffy nose, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, headache, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, sore throat, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, slight fatigue, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"headache, nasal congestion, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"headache, nasal congestion, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, stuffy nose, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"headache, sore throat, nasal congestion",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"runny nose, sneezing, mild fever, cough",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sneezing, runny nose, mild fever, cough",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, watery eyes, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"headache, nasal congestion, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, sore throat, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"mild fever, sneezing, cough, runny nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, stuffy nose, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, watery eyes, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, watery eyes, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, watery eyes, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sneezing, mild fever, cough, runny nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, watery eyes, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"runny nose, cough, mild fever, sneezing",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, slight fatigue, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, stuffy nose, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"cough, runny nose, mild fever, sneezing",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, stuffy nose, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, watery eyes, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sneezing, cough, mild fever, runny nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, stuffy nose, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"cough, sneezing, runny nose, mild fever",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, watery eyes, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, sore throat, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sneezing, runny nose, cough, mild fever",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sore throat, nasal congestion, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, watery eyes, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"runny nose, mild fever, cough, sneezing",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"headache, nasal congestion, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, headache, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, headache, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"mild fever, cough, runny nose, sneezing",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, stuffy nose, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, stuffy nose, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"headache, sore throat, nasal congestion",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, stuffy nose, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"headache, nasal congestion, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"cough, runny nose, mild fever, sneezing",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, stuffy nose, watery eyes",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, slight fatigue, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, watery eyes, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"mild fever, runny nose, cough, sneezing",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, headache, sore throat",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"watery eyes, slight fatigue, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"sore throat, headache, nasal congestion",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"nasal congestion, sore throat, headache",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"runny nose, mild fever, sneezing, cough",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"slight fatigue, watery eyes, stuffy nose",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"headache, sore throat, nasal congestion",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"stuffy nose, watery eyes, slight fatigue",Common Cold,"honey with warm water, saline nasal rinse",acetaminophen,Avoid cold drinks and get enough rest.
"dark urine, fatigue, dry mouth, thirst",Dehydration,oral rehydration solution,IV fluids (if severe),Drink water regularly and avoid excessive heat
"limited mobility, muscle stiffness, sudden lumbar pain",Acute Low Back Pain,gentle stretching; heat pack,ibuprofen,Stay active with light movements; maintain posture
"bloating, belching, upper abdominal discomfort, nausea",Indigestion (Dyspepsia),peppermint tea,antacid chewables,Eat slowly and avoid fatty foods
"difficulty concentrating, muscle tension, restlessness",Generalized Anxiety Disorder,deep‑breathing exercises,buspirone,Practice relaxation techniques and set realistic goals
"cold sweats, nausea, vomiting",Motion Sickness,acupressure bands; ginger candy,dimenhydrinate,Focus on horizon and avoid heavy meals before travel
"low‑grade fever, pelvic pain, burning urination, frequent urge, cloudy urine",Urinary Tract Infection,increased water intake; unsweetened cranberry juice,nitrofurantoin,Urinate frequently and avoid irritants like caffeine
"dizziness, cold sweats, vomiting, nausea",Motion Sickness,acupressure bands; ginger candy,scopolamine patch,Focus on horizon and avoid heavy meals before travel
"pressure around forehead, dull head pain, scalp tenderness, neck stiffness",Tension Headache,warm compress,naproxen,Maintain good posture and reduce screen time
"sleep changes, fatigue, persistent sadness",Depression Episode,mindfulness meditation; regular aerobic exercise,fluoxetine,Maintain social connections and seek therapy
"frequent urge, low‑grade fever, burning urination",Urinary Tract Infection,unsweetened cranberry juice; increased water intake,nitrofurantoin,Urinate frequently and avoid irritants like caffeine
"cold sweats, vomiting, nausea, dizziness",Motion Sickness,ginger candy,dimenhydrinate,Focus on horizon and avoid heavy meals before travel
"infrequent bowel movements, straining, abdominal discomfort",Constipation,prune juice,bisacodyl,Increase fiber and exercise regularly
"frequent urge, cloudy urine, burning urination, pelvic pain, low‑grade fever",Urinary Tract Infection,unsweetened cranberry juice; increased water intake,nitrofurantoin,Urinate frequently and avoid irritants like caffeine
"muscle stiffness, sudden lumbar pain, limited mobility",Acute Low Back Pain,gentle stretching,ibuprofen,Stay active with light movements; maintain posture
"palpitations, weight loss, anxiety, tremor",Hyperthyroidism,bugleweed tea; stress‑reduction techniques,propranolol,Avoid excess iodine and caffeine
"oily skin, whiteheads, blackheads, pimples",Acne Vulgaris,aloe vera; tea tree oil,adapalene gel,Cleanse gently twice a day and avoid picking
"blackheads, whiteheads, inflammation",Acne Vulgaris,tea tree oil,adapalene gel,Cleanse gently twice a day and avoid picking
"body aches, chills, dry cough",Influenza (Flu),warm saltwater gargle; ginger tea,oseltamivir,Increase fluid intake; isolate to avoid spreading
"increased thirst, blurred vision, frequent urination",Diabetes (Hyperglycemia),cinnamon water; fenugreek seeds,insulin,Monitor blood glucose and follow balanced diet
"bloating, abdominal cramps, gas, alternating diarrhea and constipation",Irritable Bowel Syndrome,soluble fiber supplement; peppermint oil capsules,dicyclomine,Follow low‑FODMAP diet and manage stress
"red patches, itching, scaly plaques, dry skin",Psoriasis Flare,sunlight exposure; dead sea salt bath,topical corticosteroids,Keep skin moisturized and avoid triggers like stress
"irritability, ear pain, muffled hearing",Otitis Media,warm compress,amoxicillin,Keep ears dry and elevate head during rest
"itchy throat, abdominal pain, hives, swelling lips, nausea",Food Allergy,cold compress,epinephrine (EpiPen),Eliminate the trigger food and read labels carefully
"cold intolerance, weight gain, fatigue, dry skin",Hypothyroidism,selenium‑rich foods; regular exercise,levothyroxine,Take medication on empty stomach daily
"swollen tonsils, sore throat, tender lymph nodes",Streptococcal Pharyngitis,warm saltwater gargle,penicillin,Complete antibiotics and change toothbrush
"fever, ear fullness, muffled hearing, irritability, ear pain",Otitis Media,warm olive‑oil drops,ibuprofen,Keep ears dry and elevate head during rest
"vomiting, visual aura, throbbing headache, nausea",Migraine,cold compress,ibuprofen,Rest in a dark quiet room; track triggers
"runny nose, sneezing, mild fever, nasal congestion",Common Cold,steam inhalation,ibuprofen,Rest well and stay hydrated
"heat intolerance, weight loss, anxiety, tremor",Hyperthyroidism,stress‑reduction techniques,propranolol,Avoid excess iodine and caffeine
"ankle swelling, instability, pain with movement, bruising",Ankle Sprain,RICE protocol; arnica gel,acetaminophen,Gradually restore range of motion and strength
"high fever, dry cough, chills, fatigue, headache, body aches",Influenza (Flu),ginger tea,ibuprofen,Increase fluid intake; isolate to avoid spreading
"rapid heartbeat, sweating, confusion, shakiness, hunger",Hypoglycemia,consume fruit juice,glucose gel,Carry quick sugar and adjust insulin timing
"stiffness, reduced range of motion, crepitus",Osteoarthritis of Knee,glucosamine supplement; hot‑cold therapy,acetaminophen,Maintain healthy weight and strengthen quadriceps
"high fever, dry cough, fatigue, body aches",Influenza (Flu),ginger tea,acetaminophen,Increase fluid intake; isolate to avoid spreading
"pain, peeling, swelling",Sunburn,aloe vera gel; cool compress,lidocaine spray,Stay hydrated and avoid further sun exposure
"loss of interest, fatigue, sleep changes, persistent sadness, feelings of hopelessness",Depression Episode,regular aerobic exercise,sertraline,Maintain social connections and seek therapy
"joint pain, behind‑the‑eye pain, rash",Dengue Fever,papaya leaf juice; fluid replacement,acetaminophen,Avoid NSAIDs and monitor for warning signs
"pain, warmth, red skin",Sunburn,aloe vera gel,ibuprofen,Stay hydrated and avoid further sun exposure
"itchy rash, cracked skin, dry patches, redness",Eczema (Dermatitis),oatmeal bath; coconut oil,hydrocortisone cream,Moisturize frequently and avoid harsh soaps
"loss of balance, spinning sensation, head movements worsen dizziness, nausea",Vertigo (BPPV),Epley maneuver,meclizine,Perform vestibular exercises and move slowly
"swelling, warmth, peeling",Sunburn,cool compress,ibuprofen,Stay hydrated and avoid further sun exposure
"cough, dry throat, raw sensation, hoarse voice",Laryngitis,humidifier use; warm water with honey,prednisone (short course),Rest voice and avoid irritants
"loss of interest, persistent sadness, fatigue, feelings of hopelessness, sleep changes",Depression Episode,mindfulness meditation,sertraline,Maintain social connections and seek therapy
"watery eyes, itchy nose, nasal congestion, runny nose",Allergic Rhinitis,local honey; saline nasal rinse,cetirizine,Avoid known allergens and keep windows closed
"early satiety, belching, nausea, bloating",Indigestion (Dyspepsia),peppermint tea; warm water with lemon,famotidine,Eat slowly and avoid fatty foods
"pimples, blackheads, oily skin, inflammation, whiteheads",Acne Vulgaris,tea tree oil; aloe vera,adapalene gel,Cleanse gently twice a day and avoid picking
"coughing, chest tightness, shortness of breath",Asthma Exacerbation,pursed‑lip breathing; warm herbal tea,albuterol inhaler,Use peak‑flow meter and avoid smoke exposure
"frequent urge, low‑grade fever, burning urination, cloudy urine, pelvic pain",Urinary Tract Infection,unsweetened cranberry juice; increased water intake,trimethoprim‑sulfamethoxazole,Urinate frequently and avoid irritants like caffeine
"bloating, sour taste, heartburn, regurgitation",Acid Reflux,chew sugar‑free gum,omeprazole,Eat smaller meals and avoid lying down after eating
"headache, nosebleeds, often asymptomatic, dizziness",Hypertension,relaxation breathing; garlic supplements,lisinopril,Reduce salt intake and exercise regularly
"dry cough, fever, shortness of breath, loss of smell",COVID‑19,warm saline gargle,paracetamol,Self‑isolate and follow local health guidelines
"swelling lips, nausea, hives, itchy throat",Food Allergy,cold compress,diphenhydramine,Eliminate the trigger food and read labels carefully
"fever, difficulty swallowing, throat pain, swollen tonsils",Tonsillitis,cold smoothies,amoxicillin‑clavulanate,Rest voice and stay hydrated
"frequent awakenings, difficulty falling asleep, daytime fatigue, irritability",Insomnia,chamomile tea; warm bath,melatonin,Maintain consistent sleep schedule and limit screens
"sweating, shakiness, confusion, hunger",Hypoglycemia,eat glucose tablets; consume fruit juice,glucose gel,Carry quick sugar and adjust insulin timing
"frequent awakenings, daytime fatigue, irritability",Insomnia,warm bath; chamomile tea,zolpidem,Maintain consistent sleep schedule and limit screens
"low‑grade fever, abdominal cramps, vomiting, dehydration",Gastroenteritis,banana‑rice‑applesauce‑toast diet,loperamide,Sip clear fluids and eat bland foods
"white patches, swollen tonsils, sore throat, tender lymph nodes, fever",Streptococcal Pharyngitis,warm saltwater gargle; honey tea,penicillin,Complete antibiotics and change toothbrush
"bruising, instability, pain with movement",Ankle Sprain,arnica gel; RICE protocol,ibuprofen,Gradually restore range of motion and strength
"mild fever, runny nose, sneezing, sore throat, nasal congestion, cough",Common Cold,honey‑lemon tea,paracetamol,Rest well and stay hydrated
"dizziness, headache, blurred vision, often asymptomatic, nosebleeds",Hypertension,relaxation breathing,amlodipine,Reduce salt intake and exercise regularly
"severe headache, high fever, joint pain, rash, behind‑the‑eye pain",Dengue Fever,papaya leaf juice; fluid replacement,acetaminophen,Avoid NSAIDs and monitor for warning signs
"cold intolerance, fatigue, dry skin, weight gain",Hypothyroidism,selenium‑rich foods,levothyroxine,Take medication on empty stomach daily
"morning stiffness, fatigue, joint swelling, symmetrical pain",Rheumatoid Arthritis Flare,fish oil; turmeric milk,prednisone,Perform low‑impact exercises and rest inflamed joints
"itching, scaly plaques, dry skin",Psoriasis Flare,sunlight exposure,calcipotriene,Keep skin moisturized and avoid triggers like stress
"warmth, red skin, peeling",Sunburn,aloe vera gel,lidocaine spray,Stay hydrated and avoid further sun exposure
"redness, cracked skin, itchy rash",Eczema (Dermatitis),oatmeal bath; coconut oil,cetirizine,Moisturize frequently and avoid harsh soaps
"alternating diarrhea and constipation, abdominal cramps, gas",Irritable Bowel Syndrome,peppermint oil capsules; soluble fiber supplement,dicyclomine,Follow low‑FODMAP diet and manage stress
